Id,Label
0,arsteel
1,ashu
2,bebid
3,blushweaver
4,brighthue
5,brightvision
6,cads
7,calmseer
8,dedelin
9,denth
10,edgli
11,fafen
12,fob
13,fran
14,gagaril
15,gendren
16,giftbeacon
17,grable
18,halan
19,havarseth
20,hopefinder
21,inhanna
22,jewels
23,jlan
24,kindwinds
25,lemex
26,lifeblesser
27,llarimar
28,lolan
29,mab
30,mercystar
31,mirthgiver
32,misel
33,nanrovah
34,nenefra
35,nightblood
36,old chapps
37,parlin
38,paxen
39,peaceyearning
40,rariv
41,ridger
42,rira
43,shashara
44,sisirinah
45,lightsong
46,stillmark
47,susebron
48,susebron
49,taff
50,tatara
51,thame
52,tonk
53,treledees
54,truthcall
55,tuft
56,vahr
57,vasher
58,vivenna
59,vo
60,weatherlove
61,yarda
62,yesteel
63,devotion
64,dominion
65,preservation
66,ruin
67,odium
68,cultivation
69,honor
70,endowment
71,autonomy
72,ambition
73,invention
74,mercy
75,valor
76,whimsy
77,virtuosity
78,harmony
79,aarik
80,ais
81,allstren
82,baon
83,daazk
84,delius
85,deral
86,dirin
87,doril
88,drile
89,elorin
90,flennid
91,gennel
92,gevalden
93,grelin
94,gremt
95,heelis
96,hennin
97,jedan
98,jon
99,karmat
100,kenton
101,kerzt
102,khrissalla
103,khyan
104,loaten
105,lokkall
106,lokmlen
107,lossa
108,mastrell
109,mellis
110,melloni
111,moril
112,n'teese
113,naimeer
114,praxton
115,raagent
116,reendel
117,reven
118,rite
119,scooch
120,skathan
121,stumpy
122,tain
123,tarn
124,tendel
125,torkel
126,torth
127,traiben
128,trell
129,vennin
130,vey
131,wilheln
132,yeeden
133,adien
134,aeo
135,ahan
136,alonoe
137,aona
138,ashe
139,ashgress
140,ashravan
141,atara
142,ati
143,atsuko
144,azalec
145,chamrav
146,dahad
147,daora
148,daorn
149,dashe
150,dereth
151,dilaf
152,dio
153,diolen
154,dion
155,diren
156,dothgen
157,edan
158,ehelan
159,ehen
160,elao
161,elashe
162,elrao
163,enelan
164,eoden
165,eoldess
166,eondel
167,eonic
168,eshen
169,eton
170,eventeo
171,fjon
172,forton
173,frava
174,galladon
175,gaotona
176,gatrii
177,graeo
178,grondkest
179,han shuxen
180,haona
181,horen
182,hrathen
183,hurli
184,iadon
185,idan
186,idotris
187,ien
188,isadan
189,jalla
190,kahar
191,kaise
192,karata
193,keseg
194,ketol
195,kiin
196,korath
197,kurshina
198,lenehe
199,loren
200,lukel
201,maare
202,mai
203,maod
204,mareshe
205,matisse
206,meala
207,mehen
208,naolen
209,neoden
210,nyen
211,omin
212,opa
213,opais
214,ramear
215,raoden
216,raoshem
217,redeen
218,riika
219,riil
220,riina
221,roial
222,saolin
223,sarene
224,seaden
225,seala
226,seinalan
227,seor
228,shanven
229,shaor
230,shuden
231,skai
232,stivient
233,taan
234,taid
235,tao
236,telrii
237,tenrao
238,teor
239,teorn
240,thered
241,tiil
242,torena
243,ushnaka
244,wan
245,waren
246,weedfingers
247,wulfden
248,wyrn
249,yazad
250,yil
251,zu
252,eusto
253,first of the sky
254,sixth of the dusk
255,vathi
256,yaalani
257,ann
258,glorf
259,bek
260,brick
261,brunswick
262,charlie
263,crow
264,delph
265,diggen
266,dirk
267,dorp
268,doug
269,flik
270,fort
271,gremmy
272,gret
273,gustal
274,holmes
275,inspector
276,jule
277,kaplan
278,laggart
279,lem
280,lili
281,lotari
282,mallory
283,marple
284,pakson
285,poloni
286,princess of dormancy
287,rod
288,salay
289,smocke
290,snagu
291,sor
292,tress
293,ulba
294,weev
295,character name
296,admiral
297,adonalsium-will-remember-our-plight-eventually
298,kent
299,chesterton
300,compassion
301,confidence
302,contemplation
303,daggon
304,deborah-james
305,dirge
306,divinity
307,dob
308,elegy
309,faith
310,hardy
311,harold
312,jeffrey jeffrey
313,winebare
314,makepeace
315,nazrilof
316,rebeke
317,red young
318,sebruki
319,solemnity divine
320,theopolis
321,thomos
322,tobias
323,truth-is-waiting
324,william ann
325,william montane
326,zeal
327,zellion
